,t_user_id,parsed_date,time
0,10.0,2008-03-28,86814.0
1,10.0,2008-03-29,30443.0
2,10.0,2008-03-30,38295.0
3,10.0,2008-03-31,87465.0
4,10.0,2008-04-01,86520.0
5,10.0,2008-04-02,2926.0
6,10.0,2008-04-03,137464.0
7,10.0,2008-04-04,147793.0
8,10.0,2008-04-05,86376.0
9,10.0,2008-04-06,36578.0
10,10.0,2008-05-18,2330.0
11,10.0,2008-05-19,93258.0
12,10.0,2008-06-13,1643.0
13,10.0,2008-06-15,3628.0
14,10.0,2008-06-16,119326.0
15,10.0,2008-06-17,12554.0
16,10.0,2008-06-18,399318.0
17,10.0,2008-06-19,171381.0
18,10.0,2008-06-20,88543.0
19,10.0,2008-06-28,150503.0
20,10.0,2008-08-01,471935.0
21,10.0,2008-09-15,339.0
22,10.0,2008-09-16,330676.0
23,10.0,2008-09-17,309446.0
24,10.0,2008-09-18,251903.0
25,10.0,2008-09-19,145359.0
26,10.0,2008-09-21,89678.0
27,10.0,2008-09-22,172603.0
28,10.0,2008-09-23,296288.0
29,10.0,2008-09-24,291699.0
30,10.0,2008-09-25,217526.0
31,10.0,2008-09-26,255632.0
32,10.0,2008-09-27,344583.0
33,10.0,2008-09-28,284552.0
34,10.0,2008-09-29,270774.0
35,10.0,2008-09-30,129914.0
36,10.0,2008-10-01,248215.0
37,10.0,2008-10-02,150617.0
38,10.0,2008-10-03,240041.0
39,10.0,2008-10-05,86706.0
40,10.0,2008-10-06,254676.0
41,10.0,2008-10-07,286498.0
42,10.0,2008-10-08,371504.0
43,10.0,2008-10-09,294804.0
44,10.0,2008-10-10,172996.0
45,10.0,2008-10-12,88487.0
46,10.0,2008-10-13,250030.0
47,10.0,2008-10-14,130509.0
48,10.0,2008-10-15,131555.0
49,10.0,2008-10-16,293270.0
50,10.0,2008-10-17,222490.0
51,10.0,2008-10-18,5317.0
52,10.0,2008-10-19,89044.0
53,10.0,2008-10-20,43952.0
54,10.0,2008-10-21,736.0
55,10.0,2008-10-31,94704.0
56,10.0,2008-11-01,89823.0
57,10.0,2008-11-04,28700.0
58,10.0,2008-11-06,177043.0
59,10.0,2008-11-07,39818.0
60,10.0,2008-11-08,89372.0
61,10.0,2008-12-01,1143.0
62,10.0,2008-12-06,139997.0
63,10.0,2008-12-07,98966.0
64,20.0,2011-08-27,34209.0
65,20.0,2011-08-28,134539.0
66,20.0,2011-08-29,3746.0
67,20.0,2011-08-30,94080.0
68,20.0,2011-08-31,15678.0
69,20.0,2011-09-01,220775.0
70,20.0,2011-09-02,88994.0
71,20.0,2011-09-03,121222.0
72,20.0,2011-09-04,127023.0
73,20.0,2011-09-05,440412.0
74,20.0,2011-09-06,395626.0
75,20.0,2011-09-07,1507.0
76,20.0,2011-09-09,271.0
77,20.0,2011-09-10,187313.0
78,20.0,2011-09-11,5728210.0
79,20.0,2011-09-12,2208320.0
80,20.0,2011-09-13,49004.0
81,20.0,2011-09-14,2381.0
82,20.0,2011-09-15,88857.0
83,20.0,2011-09-16,94096.0
84,20.0,2011-09-17,3659.0
85,20.0,2011-10-22,21.0
86,20.0,2011-10-26,109.0
87,20.0,2011-11-02,302.0
88,20.0,2011-11-06,21.0
89,20.0,2011-11-17,36.0
90,20.0,2011-11-18,977.0
91,20.0,2011-12-01,109.0
92,20.0,2011-12-27,495.0
93,21.0,2007-04-29,763.0
94,21.0,2007-04-30,364.0
95,21.0,2007-05-01,28480.0
96,21.0,2007-05-02,15557.0
97,21.0,2007-05-03,80122.0
98,21.0,2007-05-04,13092.0
99,52.0,2008-05-20,16861.0
100,52.0,2008-05-21,127527.0
101,52.0,2008-05-22,90198.0
102,52.0,2008-05-23,13234.0
103,52.0,2008-05-25,290252.0
104,52.0,2008-05-26,690.0
105,52.0,2008-05-27,103786.0
106,52.0,2008-05-28,102620.0
107,52.0,2008-05-29,5330.0
108,52.0,2008-05-30,88906.0
109,52.0,2008-05-31,217972.0
110,52.0,2008-06-01,15622.0
111,52.0,2008-06-02,104524.0
112,52.0,2008-06-03,123633.0
113,52.0,2008-06-04,5858.0
114,52.0,2008-06-05,88302.0
115,52.0,2008-06-06,129210.0
116,52.0,2008-06-07,14802.0
117,52.0,2008-06-09,97976.0
118,52.0,2008-06-10,16380.0
119,52.0,2008-06-12,69887.0
120,52.0,2008-06-13,101492.0
121,52.0,2008-06-14,101864.0
122,52.0,2008-06-15,113085.0
123,52.0,2008-06-16,12238.0
124,52.0,2008-06-17,13325.0
125,52.0,2008-06-20,153485.0
126,52.0,2008-06-21,11466.0
127,52.0,2008-06-25,97687.0
128,52.0,2008-06-26,176475.0
129,52.0,2008-06-27,10940.0
130,52.0,2008-06-28,1970.0
131,52.0,2008-06-29,116630.0
132,52.0,2008-07-01,90820.0
133,52.0,2008-07-02,99960.0
134,52.0,2008-07-03,123882.0
135,52.0,2008-07-06,14650.0
136,52.0,2008-07-07,525.0
137,52.0,2008-07-08,86472.0
138,52.0,2008-07-09,268193.0
139,52.0,2008-07-10,64338.0
140,52.0,2008-07-11,208494.0
141,52.0,2008-07-15,88228.0
142,52.0,2008-07-16,87222.0
143,52.0,2008-07-17,122419.0
144,52.0,2008-07-18,177674.0
145,52.0,2008-07-19,118217.0
146,52.0,2008-07-20,119327.0
147,52.0,2008-07-21,109937.0
148,52.0,2008-07-22,103567.0
149,52.0,2008-07-23,190597.0
150,52.0,2008-07-24,206379.0
151,52.0,2008-07-25,305955.0
152,52.0,2008-07-26,195664.0
153,52.0,2008-07-27,53068.0
154,52.0,2008-07-29,95327.0
