,t_user_id,parsed_date,speed
0,10.0,2008-03-28,8.27193470569
1,10.0,2008-03-29,16.4651571986
2,10.0,2008-03-30,8.32196367872
3,10.0,2008-03-31,16.3677969227
4,10.0,2008-04-01,13.5140766833
5,10.0,2008-04-02,4.76747143356
6,10.0,2008-04-03,16.3849204275
7,10.0,2008-04-04,14.4895335227
8,10.0,2008-04-05,24.0453845974
9,10.0,2008-04-06,20.1961898549
10,10.0,2008-05-18,13.7416376854
11,10.0,2008-05-19,22.3939916593
12,10.0,2008-06-13,1.31068179406
13,10.0,2008-06-15,21.7112678318
14,10.0,2008-06-16,8.62295508925
15,10.0,2008-06-17,11.656895796
16,10.0,2008-06-18,10.3364368226
17,10.0,2008-06-19,12.2269674757
18,10.0,2008-06-20,10.7299948816
19,10.0,2008-06-28,5.49778488591
20,10.0,2008-08-01,13.4847170299
21,10.0,2008-09-15,8.15022424206
22,10.0,2008-09-16,12.245599995
23,10.0,2008-09-17,11.3812402598
24,10.0,2008-09-18,12.1744188153
25,10.0,2008-09-19,12.6055639631
26,10.0,2008-09-21,14.1259251501
27,10.0,2008-09-22,14.4072666457
28,10.0,2008-09-23,12.5996019748
29,10.0,2008-09-24,12.5461663345
30,10.0,2008-09-25,13.0994515017
31,10.0,2008-09-26,12.281761178
32,10.0,2008-09-27,12.0982060064
33,10.0,2008-09-28,12.8757366075
34,10.0,2008-09-29,10.7232866861
35,10.0,2008-09-30,inf
36,10.0,2008-10-01,12.6792486384
37,10.0,2008-10-02,inf
38,10.0,2008-10-03,13.5476999389
39,10.0,2008-10-05,17.2195090188
40,10.0,2008-10-06,11.982404637
41,10.0,2008-10-07,12.0970903621
42,10.0,2008-10-08,12.9501507323
43,10.0,2008-10-09,11.8597300759
44,10.0,2008-10-10,11.2822239487
45,10.0,2008-10-12,17.8752245723
46,10.0,2008-10-13,12.195402042
47,10.0,2008-10-14,7.66649632593
48,10.0,2008-10-15,14.5985508519
49,10.0,2008-10-16,11.5235298604
50,10.0,2008-10-17,11.5794791709
51,10.0,2008-10-18,4.22247566995
52,10.0,2008-10-19,18.9138326588
53,10.0,2008-10-20,7.57518575025
54,10.0,2008-10-21,11.3973593279
55,10.0,2008-10-31,inf
56,10.0,2008-11-01,22.1558503399
57,10.0,2008-11-04,7.72628304477
58,10.0,2008-11-06,16.6160337607
59,10.0,2008-11-07,9.67357726842
60,10.0,2008-11-08,5.74586956157
61,10.0,2008-12-01,7.75711600536
62,10.0,2008-12-06,14.8200729716
63,10.0,2008-12-07,13.5011387277
64,20.0,2011-08-27,4.09181243789
65,20.0,2011-08-28,3.00662351357
66,20.0,2011-08-29,2.37307657947
67,20.0,2011-08-30,3.86222879446
68,20.0,2011-08-31,3.77046592802
69,20.0,2011-09-01,3.80801269506
70,20.0,2011-09-02,2.76610264187
71,20.0,2011-09-03,1.72020677604
72,20.0,2011-09-04,3.38397031347
73,20.0,2011-09-05,3.84394230285
74,20.0,2011-09-06,2.59657908927
75,20.0,2011-09-07,1.79781390372
76,20.0,2011-09-09,2.70190941637
77,20.0,2011-09-10,inf
78,20.0,2011-09-11,inf
79,20.0,2011-09-12,2.1213523366
80,20.0,2011-09-13,2.05907348815
81,20.0,2011-09-14,3.09012786588
82,20.0,2011-09-15,2.93424354776
83,20.0,2011-09-16,3.56732781402
84,20.0,2011-09-17,3.94158488928
85,20.0,2011-10-22,2.5375587513
86,20.0,2011-10-26,3.40394062132
87,20.0,2011-11-02,3.13998985958
88,20.0,2011-11-06,0.78630857409
89,20.0,2011-11-17,5.64118173548
90,20.0,2011-11-18,2.33292021193
91,20.0,2011-12-01,2.4876362941
92,20.0,2011-12-27,2.22867563977
93,21.0,2007-04-29,7.73345347404
94,21.0,2007-04-30,3.73901191517
