,t_user_id,parsed_date,acceleration
0,10.0,2008-03-28,-0.00191684143233
1,10.0,2008-03-29,-0.00108816741884
2,10.0,2008-03-30,-0.00288192118914
3,10.0,2008-03-31,0.0237997469496
4,10.0,2008-04-01,-0.00354508437675
5,10.0,2008-04-02,0.0453386490655
6,10.0,2008-04-03,-0.0100616052164
7,10.0,2008-04-04,0.00413605805142
8,10.0,2008-04-05,0.0174868591956
9,10.0,2008-04-06,0.058485752699
10,10.0,2008-05-18,0.0691175538286
11,10.0,2008-05-19,0.0282800178223
12,10.0,2008-06-13,-0.00227259944298
13,10.0,2008-06-15,0.00458219600003
14,10.0,2008-06-16,0.0148438322335
15,10.0,2008-06-17,-0.000126090884682
16,10.0,2008-06-18,0.0137856095452
17,10.0,2008-06-19,0.00331658792127
18,10.0,2008-06-20,0.0134972540719
19,10.0,2008-06-28,0.0279673365493
20,10.0,2008-08-01,-0.00136484275896
21,10.0,2008-09-15,0.0147040381977
22,10.0,2008-09-16,0.00712746246411
23,10.0,2008-09-17,0.000585251038062
24,10.0,2008-09-18,0.0441594692711
25,10.0,2008-09-19,-0.0326615309542
26,10.0,2008-09-21,0.0136591609658
27,10.0,2008-09-22,0.00729237337917
28,10.0,2008-09-23,-0.0147792808469
29,10.0,2008-09-24,-0.00365668908013
30,10.0,2008-09-25,-0.0153391039539
31,10.0,2008-09-26,-0.00448846453617
32,10.0,2008-09-27,-0.0133601502379
33,10.0,2008-09-28,0.00264255777025
34,10.0,2008-09-29,0.00838620979245
35,10.0,2008-09-30,-0.00176761523978
36,10.0,2008-10-01,0.00194641316849
37,10.0,2008-10-02,0.031823860303
38,10.0,2008-10-03,0.00372896572681
39,10.0,2008-10-05,-0.130375759532
40,10.0,2008-10-06,-0.000418251599628
41,10.0,2008-10-07,0.00187757578222
42,10.0,2008-10-08,0.0155646364288
43,10.0,2008-10-09,-0.0078959309524
44,10.0,2008-10-10,-0.000847698425119
45,10.0,2008-10-12,-0.0143056182572
46,10.0,2008-10-13,-0.0105123648298
47,10.0,2008-10-14,-0.00384180526485
48,10.0,2008-10-15,-0.000375464178743
49,10.0,2008-10-16,-0.00111349267922
50,10.0,2008-10-17,-0.025089024927
51,10.0,2008-10-18,0.010447956791
52,10.0,2008-10-19,-0.0190567912034
53,10.0,2008-10-20,-0.00169805624995
54,10.0,2008-10-21,0.00419223706851
55,10.0,2008-10-31,-0.0425078946342
56,10.0,2008-11-01,-0.00448346203834
57,10.0,2008-11-04,0.0006805703761
58,10.0,2008-11-06,-0.01533893027
59,10.0,2008-11-07,0.00117336162317
60,10.0,2008-11-08,0.00141837803198
61,10.0,2008-12-01,0.00439436658861
62,10.0,2008-12-06,0.0159484068402
63,10.0,2008-12-07,-0.0223814779288
64,20.0,2011-08-27,0.015629377694
65,20.0,2011-08-28,-0.0404275140658
66,20.0,2011-08-29,0.00631583970899
